time,open,high,low,close,volume
2025-10-06T08:35,6790.0,6791.0,6784.75,6786.0,6199.0
2025-10-06T08:50,6786.0,6786.25,6782.75,6784.0,9185.0
2025-10-06T09:05,6784.0,6785.0,6781.25,6783.5,9247.0
2025-10-06T09:20,6783.5,6787.25,6782.75,6785.5,7731.0
2025-10-06T09:35,6785.5,6790.25,6777.5,6779.75,61804.0
2025-10-06T09:50,6779.75,6782.0,6773.0,6774.75,62304.0
2025-10-06T10:05,6774.75,6775.0,6767.25,6767.75,56231.0
2025-10-06T10:20,6768.0,6778.5,6766.5,6776.0,42977.0
2025-10-06T10:35,6776.0,6780.5,6775.5,6780.0,37236.0
2025-10-06T10:50,6780.0,6780.75,6773.5,6778.5,40667.0
2025-10-06T11:05,6778.25,6783.75,6776.75,6782.75,28472.0
2025-10-06T11:20,6782.5,6784.5,6780.75,6783.5,25458.0
2025-10-06T11:35,6783.25,6786.5,6782.0,6785.25,21582.0
2025-10-06T11:50,6785.25,6791.0,6783.75,6790.25,30215.0
2025-10-06T12:05,6790.25,6791.75,6787.5,6788.25,25003.0
2025-10-06T12:20,6788.25,6789.5,6785.25,6789.5,23498.0
2025-10-06T12:35,6789.5,6791.25,6786.5,6787.5,16998.0
2025-10-06T12:50,6787.5,6790.25,6786.0,6789.25,15753.0
2025-10-06T13:05,6789.25,6790.0,6786.75,6787.0,13815.0
2025-10-06T13:20,6787.25,6795.25,6785.75,6795.0,25340.0
2025-10-06T13:35,6795.0,6796.0,6791.0,6793.75,27764.0
2025-10-06T13:50,6793.75,6795.75,6790.5,6795.0,23432.0
2025-10-06T14:05,6794.75,6797.25,6793.25,6794.25,18394.0
2025-10-06T14:20,6794.25,6796.25,6792.75,6794.75,15178.0
2025-10-06T14:35,6794.75,6797.75,6794.5,6795.0,19931.0
2025-10-06T14:50,6795.0,6795.75,6793.25,6795.5,15849.0
2025-10-06T15:05,6795.25,6795.75,6791.25,6793.25,19472.0
2025-10-06T15:20,6793.0,6793.75,6788.5,6789.25,22115.0
2025-10-06T15:35,6789.25,6791.5,6788.25,6791.0,23433.0
2025-10-06T15:50,6791.0,6793.5,6788.5,6791.5,48798.0
2025-10-06T16:05,6791.75,6792.25,6787.0,6789.0,94579.0
2025-10-06T16:20,6789.25,6790.0,6788.0,6789.75,9449.0
2025-10-06T16:35,6789.75,6790.75,6789.5,6790.5,3673.0
2025-10-06T16:50,6790.5,6791.5,6790.0,6790.75,3459.0
2025-10-06T18:05,6790.75,6792.75,6789.5,6791.5,11703.0
2025-10-06T18:20,6791.75,6793.0,6790.5,6791.75,617.0
2025-10-06T18:35,6791.75,6792.0,6786.5,6786.75,1304.0
2025-10-06T18:50,6786.5,6786.5,6782.0,6782.5,2043.0
2025-10-06T19:05,6782.25,6782.25,6776.25,6777.75,2897.0
2025-10-06T19:20,6778.0,6781.5,6777.5,6780.5,2119.0
